"n_obs" "em_cl_N" "em_cl_loglike" "em_el_N" "em_el_loglike" "em_pel_N" "em_pel_loglike" "opt_cl_N" "opt_cl_loglike" "opt_el_N" "opt_el_loglike" "opt_pel_N" "opt_pel_loglike"
123 147.878512643188 -693.328792997314 147.878512643188 -693.328792997314 147.830529676194 -693.329965997298 151.309183479049 -98.9654050976785 147.973738247156 -693.328764675339 147.922082254103 -693.32993962102
131 168.975007768081 -736.941622804061 168.975007768081 -736.941622804061 168.489503745151 -736.95133194844 176.096097022015 -95.6441414953351 169.254838432536 -736.941552495422 168.746807865457 -736.951266287896
122 141.387286867089 -683.411604915474 141.387286867089 -683.411604915474 141.352643892935 -683.412251041808 143.89450833745 -94.962490903492 141.438100857359 -683.411590696813 141.413206734955 -683.4122307447
125 190.050528196841 -696.535973024427 190.050528196841 -696.535973024427 188.468649193372 -696.560830560068 198.70114903879 -90.1766890370573 190.513755477262 -696.53589785174 188.904887829966 -696.560754760088
121 186.079109260922 -678.256122952336 186.079109260922 -678.256122952336 184.87102514789 -678.272415423374 195.8488712872 -95.1484967985733 186.648844227114 -678.256021142377 185.36620075892 -678.272329927157
126 147.526560956655 -713.772882792864 147.526560956655 -713.772882792864 147.509253742909 -713.773267563988 150.065478772091 -101.998419874308 147.582590280285 -713.772866190523 147.564382177201 -713.773251575012
125 189.578387598797 -702.871040595114 189.578387598797 -702.871040595114 186.162325608116 -702.895218594123 216.098714046867 -96.4778234583851 191.098202699429 -702.870734617071 187.330514352908 -702.894968624921
138 159.151820816505 -784.87958200156 159.151820816505 -784.87958200156 159.086184595072 -784.881152445185 162.861274031032 -102.505734078287 159.242608752093 -784.879546162794 159.182160672944 -784.881111657227
129 180.588871115264 -726.362868903231 180.588871115264 -726.362868903231 178.967034293477 -726.382419634841 194.33155898829 -96.6796459497507 181.252901303363 -726.362718793366 179.544353324564 -726.382284246058
130 213.771830099058 -741.017518440626 213.771830099058 -741.017518440626 212.024007477701 -741.034575847516 227.255127322988 -105.328427566456 214.734400587742 -741.017347018728 212.870179700749 -741.034424748022
121 163.000782621321 -674.018089328741 163.000782621321 -674.018089328741 162.641181514737 -674.026037606356 168.536327753259 -91.0627531420475 163.215643808337 -674.018041188062 162.843556825823 -674.025992615534
119 163.471006269973 -662.994124887539 163.471006269973 -662.994124887539 162.985013206365 -663.003045601193 170.2381810808 -91.5921007660009 163.766304943942 -662.994055803905 163.268621568563 -663.00297757704
124 213.103878234164 -685.874386655478 213.103878234164 -685.874386655478 201.048164377735 -685.968494288982 238.456502102375 -85.2266440929921 214.943103131927 -685.874113023821 202.062698453433 -685.968324658955
134 221.586309460253 -754.988115936184 221.586309460253 -754.988115936184 218.737476563933 -755.024289763594 232.586025080584 -95.7535683110038 222.328765256356 -754.988011741871 219.367103459954 -755.024203750392
130 157.992367494679 -726.532936499421 157.992367494679 -726.532936499421 157.840549356534 -726.537638258344 161.631755683483 -91.2372796862541 158.092085450743 -726.53290947324 157.938113147719 -726.537608156266
123 143.932350732476 -699.472190795844 143.932350732476 -699.472190795844 143.924351065988 -699.472296578392 146.509104847318 -105.183224150639 143.986148909895 -699.472174919491 143.977317690936 -699.472281097477
114 162.012741876857 -628.491140273675 162.012741876857 -628.491140273675 160.859437788865 -628.509960369682 170.702727590162 -85.8532838784215 162.404947647984 -628.49106172127 161.21235113458 -628.509889414175
124 178.219785527131 -701.056343441061 178.219785527131 -701.056343441061 177.728155655349 -701.06376128599 185.845089505127 -100.581804666597 178.586477790644 -701.056268535374 178.082235698245 -701.063686906753
124 168.338433105953 -687.7635403138 168.338433105953 -687.7635403138 167.221576505944 -687.783967658544 176.811206709059 -87.3513288286498 168.696494530255 -687.763462861324 167.534258482028 -687.783900011723
126 250.770831817311 -704.198501346982 250.770831817311 -704.198501346982 240.193838413275 -704.274738492117 270.749813418425 -91.817604937739 252.605103624769 -704.198289738782 241.489834595752 -704.274575389825
127 176.914798149567 -714.916992288723 176.914798149567 -714.916992288723 175.802599159036 -714.931420552918 188.690611457148 -96.9560010829848 177.48146951127 -714.916860327366 176.308995410181 -714.931298962852
120 265.766792981982 -670.318867727586 265.766792981982 -670.318867727586 253.128509521974 -670.392113035943 288.281987880783 -92.7885772147223 268.148444025165 -670.318624049944 254.7758586201 -670.391930088492
128 225.183025971 -717.959244102069 225.183025971 -717.959244102069 219.321551798238 -718.009764241472 242.574453766726 -93.9484271349548 226.51444585016 -717.959055965152 220.342592278868 -718.009609781492
127 165.09491232963 -713.899573036834 165.09491232963 -713.899573036834 164.840361006278 -713.905524311113 170.072567500019 -96.0532942817576 165.2761030753 -713.899529849408 165.019687728566 -713.905480575957
128 182.658676524584 -722.454543338827 182.658676524584 -722.454543338827 182.083456494643 -722.465038003729 189.675009032934 -98.6291734687839 183.007593610415 -722.454476010281 182.392327871459 -722.464979826141
119 601.255734396571 -660.492095024558 601.255734396571 -660.492095024558 267.413459250373 -661.012167027646 810.148368206268 -88.5532907549799 661.71928498705 -660.489831823769 270.059751882335 -661.011850205545
127 166.592772225886 -715.184380882149 166.592772225886 -715.184380882149 166.267148603384 -715.191212581948 172.546635468293 -97.3202273084453 166.832243279085 -715.18432366833 166.49093900278 -715.191158868401
